time,icao,operation,airport,registration,flight,ac_type,ac_size,runway,flight_link,squawk,signal_type,category,year,manufacturer,model,ownop,faa_pia,faa_ladd,short_type,mil,apt_type,name,latitude,longitude,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,elev
11/1/2024 0:59,76b4ed,landing,WMKP,9V-MGM,SIA132,B738,Medium,,https://globe.adsbexchange.com/?icao=76b4ed&zoom=13.5&showTrace=2024-11-01&timestamp=1730422793,,adsb_icao,A0,,,Boeing 737-8SA,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:01,781571,takeoff,WMKP,B-303Y,CSN396,A21N,Medium,,https://globe.adsbexchange.com/?icao=781571&zoom=13.5&showTrace=2024-11-01&timestamp=1730422902,5102,adsb_icao,A3,,,Airbus A321-271N,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:03,75029c,landing,WMKJ,9M-AQM,AXM6051,A320,Medium,,https://globe.adsbexchange.com/?icao=75029c&zoom=13.5&showTrace=2024-11-01&timestamp=1730423001,,adsb_icao,A0,,,Airbus A320 216,,f,f,L2J,f,medium_airport,Senai International Airport,1.640556,103.669861,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:05,8a090f,takeoff,WMKP,PK-MYB,MYU224,B733,Medium,,https://globe.adsbexchange.com/?icao=8a090f&zoom=13.5&showTrace=2024-11-01&timestamp=1730423119,2650,adsb_icao,A3,,,Boeing 737-36Q,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:06,8a09b8,takeoff,WMKK,PK-AZT,AWQ125,A320,Medium,33,https://globe.adsbexchange.com/?icao=8a09b8&zoom=13.5&showTrace=2024-11-01&timestamp=1730423183,2122,adsb_icao,A3,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:08,7.50E+09,takeoff,WMSA,9M-III,F0026,B737,Medium,33,https://globe.adsbexchange.com/?icao=7503e6&zoom=13.5&showTrace=2024-11-01&timestamp=1730423334,343,adsb_icao,A3,,,Boeing 737-82Z,,f,f,L2J,f,medium_airport,Sultan Abdul Aziz Shah International Airport,3.1306,101.549,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:09,a44477,takeoff,WMKK,N374UP,UPS147,B763,Big,32R,https://globe.adsbexchange.com/?icao=a44477&zoom=13.5&showTrace=2024-11-01&timestamp=1730423378,333,adsb_icao,A5,2020,BOEING,767-300F,UNITED PARCEL SERVICE CO,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:11,750400,landing,WMKP,9M-LND,,B738,Medium,,https://globe.adsbexchange.com/?icao=750400&zoom=13.5&showTrace=2024-11-01&timestamp=1730423471,,adsb_icao,A3,,,Boeing 737NG 800/W,,f,f,L2J,f,medium_airport,Penang International Airport,5.297139,100.276639,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:16,76aa75,takeoff,WMKK,9V-JSU,JSA684,A320,Medium,33,https://globe.adsbexchange.com/?icao=76aa75&zoom=13.5&showTrace=2024-11-01&timestamp=1730423817,,adsb_icao,A0,,,Airbus A320 232SL,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:24,750474,takeoff,WMSA,9M-AGY,AXM4235,A320,Medium,15,https://globe.adsbexchange.com/?icao=750474&zoom=13.5&showTrace=2024-11-01&timestamp=1730424253,2135,adsb_icao,A3,,,Airbus A320-216,,f,f,L2J,f,medium_airport,Sultan Abdul Aziz Shah International Airport,3.1306,101.549,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:30,750561,takeoff,WMKK,9M-VAC,AXM6324,A21N,Medium,33,https://globe.adsbexchange.com/?icao=750561&zoom=13.5&showTrace=2024-11-01&timestamp=1730424652,363,adsb_icao,A3,,AIRBUS,A321neo,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-12,,yes,BKI,10
11/1/2024 1:31,8a0987,takeoff,WMKK,PK-TLD,TNU676,A320,Medium,32R,https://globe.adsbexchange.com/?icao=8a0987&zoom=13.5&showTrace=2024-11-01&timestamp=1730424679,2177,adsb_icao,A3,,,,,f,f,L2J,f,large_airport,Kuala Lumpur International Airport,2.743333,101.708889,AS,MY,MY-12,,yes,BKI,10
